GSS_CODE;Date;Total_Qf
E09000001;02/01/05;131.9385281
E09000002;02/01/05;8.666033787
E09000003;02/01/05;8.706331291
E09000004;02/01/05;8.441242762
E09000005;02/01/05;13.2006469
E09000006;02/01/05;4.405662517
E09000007;02/01/05;28.76644852
E09000008;02/01/05;8.314649987
E09000009;02/01/05;12.07994667
E09000010;02/01/05;7.728284203
E09000011;02/01/05;10.36654842
E09000012;02/01/05;18.68377135
E09000013;02/01/05;24.26985869
E09000014;02/01/05;14.56196933
E09000015;02/01/05;9.200437489
E09000016;02/01/05;4.370706813
E09000017;02/01/05;7.431050115
E09000018;02/01/05;10.26991128
E09000019;02/01/05;29.43638555
E09000020;02/01/05;40.54560943
E09000021;02/01/05;8.929374963
E09000022;02/01/05;20.56871701
E09000023;02/01/05;12.76907813
E09000024;02/01/05;9.94247455
E09000025;02/01/05;15.12657633
E09000026;02/01/05;8.335602327
E09000027;02/01/05;7.215753336
E09000028;02/01/05;19.81404073
E09000029;02/01/05;7.940024249
E09000030;02/01/05;25.73595763
E09000031;02/01/05;10.96847174
E09000032;02/01/05;16.91106816
E09000033;02/01/05;50.28336358